"ItemCode","ItemName","NumInBuy","SWW","OnHand","WhsCode"
"01012093230201021000",VINO ESP. PEÑASOL TINTO TETRA PACK,6.000000,,7190.000000,"01"
"01012093230202011000",VINO ESP. PEÑASOL BLANCO TETRA PACK,6.000000,,1674.000000,"01"
"01012093230502010750",VINO ESP. PEÑASOL CHARDONNAY,6.000000,,5564.000000,"01"
"01012093230507010750",VINO ESP. PEÑASOL MERLOT,6.000000,,3700.000000,"01"
"01012093230511010750",VINO ESP. PEÑASOL TEMPRANILLO GARNACHA,6.000000,,3310.000000,"01"
"01012093230602010750",VINO ESP. EL PULPO ALBARIÑO,6.000000,,1604.000000,"01"
"01012093230804010750",VINO NZ SOUTHERN OCEAN SAUV. BLANC MARLBOROUGH,6.000000,,166.000000,"01"
"01012093230911010750",VINO ESP. MUCHO MAS RED BLEND,6.000000,,2659.000000,"01"
"01012093290101010750",VINO ESP. ALBALI TINTO GRAN RESERVA,6.000000,,317.000000,"01"
"01012093290201010750",VINO ESP. ALBALI TINTO CRIANZA,6.000000,,2018.000000,"01"
"01012093290301010750",VINO ESP. ALBALI TINTO RESERVA,6.000000,,2716.000000,"01"
"01012093290301020375",VINO ESP. ALBALI TINTO RESERVA 375CC,12.000000,,90.000000,"01"
"01012093420111010750",VINO ESP. CARMELO RODERO 9 MESES,12.000000,,455.000000,"01"
"01012093420211010750",VINO ESP. CARMELO RODERO CRIANZA,12.000000,,168.000000,"01"
"01012093420311010750",VINO ESP. CARMELO RODERO RESERVA,6.000000,,179.000000,"01"
"01012093290407010750",VINO ESP. ALBALI MERLOT,6.000000,,1.000000,"01"
"01012093420411010750",VINO ESP. CARMELO RODERO TSM,6.000000,,50.000000,"01"
"01012093780121010500",VINO ESP. RODA C/M 500ml EN TRIPACK,1.000000,,68.000000,"01"
"01012093780121010750",VINO ESP. RODA,6.000000,,24.000000,"01"
"01012093780121020500",VINO ESP. RODA I C/M 500ml EN TRIPACK,1.000000,,25.000000,"01"
"01012093780121020750",VINO ESP. RODA I,6.000000,,66.000000,"01"
"01012093780321010750",VINO ESP. RODA SELA,6.000000,,191.000000,"01"
"01012094400101010750",VINO ESP. CORIMBO,6.000000,,144.000000,"01"
"01012094400101020750",VINO ESP. CORIMBO I,6.000000,,78.000000,"01"
"01012094410101010750",VINO ESP. JUAN GIL ETIQUETA PLATA,12.000000,,566.000000,"01"
"01012094410101020750",VINO ESP. JUAN GIL ETIQUETA AZUL,6.000000,,99.000000,"01"
"01012094410101030750",VINO ESP. JUAN GIL ETIQUETA AMARILLA,12.000000,,1591.000000,"01"
"01012094410102010750",VINO ESP. JUAN GIL MOSCATEL SECO,12.000000,,60.000000,"01"
"01012094420101010750",VINO ESP. BRUTO TINTO,6.000000,,69.000000,"01"
