"id_one_label","code_label","notas","response","message","sign","message_status","validated_date","activated_date","signed_date","bg_status","id_user","date_created","last_updated","cod_contable_id"
1060,"002BXUK1",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.480892000","2022-09-27 16:28:24.223859000","02012130020202010750"
1061,"001GC8G8",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.483208000","2022-09-27 16:28:24.891749000","02012130020202010750"
1062,"001GEI70",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.485536000","2022-09-27 16:28:25.554616000","02012130020202010750"
1063,"001G66G5",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.487657000","2022-09-27 16:28:26.218812000","02012130020202010750"
1064,"001G9YP1",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.489836000","2022-09-27 16:28:27.016880000","02012130020202010750"
1065,"001G97G1",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.491871000","2022-09-27 16:28:27.679794000","02012130020202010750"
1066,"001G6XP5",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.493890000","2022-09-27 16:28:28.362463000","02012130020202010750"
1067,"001GBH73",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.496469000","2022-09-27 16:28:29.023716000","02012130020202010750"
1068,"001GDQY2",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.498652000","2022-09-27 16:28:29.694239000","02012130020202010750"
1069,"001GCZP8",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.501035000","2022-09-27 16:28:30.357986000","02012130020202010750"
1070,"001GAPY6",Etiqueta Activada,"{""name"":""BadRequestError"",""httpCode"":400,""description"":""Unique mark has status 2""}",,,Etiqueta Activada,"2022-09-27 16:28:20.829689000",,,A,0,"2022-09-27 16:27:23.503178000","2022-09-27 16:28:31.274578000","02012130020202010750"
